accession,model_name,embedding_type_id,layer_index,go_id,category,evidence_code,go_description,distance,protein_id,organism,gene_name,support_count,reliability_index,collapsed_support,n_collapsed_terms,collapsed_terms,identity,similarity,alignment_score,gaps_percentage,alignment_length,length_query,length_reference,distance_metric,distance_threshold,model_support,n_models_total,model_consistency,layer_support,n_layers_model,layer_support_norm,support_count_norm,collapsed_support_norm,alignment_norm,score,best_model,best_layer,score_global
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM3c,5,35,GO:0000122,P,IMP,negative regulation of transcription by RNA polymerase II,0.003,PSN1_HUMAN,Homo sapiens (Human).,PSEN1,1,0.997,1,1,GO:0010468,15.4618,27.7108,-123,34.1365,498,359,467,cosine,0,4,5,0.8,1,4,0.25,0.1,0.1,0.21586299999999997,0.39405808000000003,ESM3c,35,0.39405808000000003
tr_A0A075F5C6_A0A075F5C6_MOUSE,Ankh3-Large,4,32,GO:0000139,C,TAS,Golgi membrane,0.0025,GTR1_HUMAN,Homo sapiens (Human).,SLC2A1 {ECO:0000312|HGNC:HGNC:11005},1,0.9975,1,1,GO:0016020,16.1355,31.0757,-69,30.4781,502,359,492,cosine,0,5,5,1.0,2,4,0.5,0.1,0.1,0.236056,0.46936896000000006,Ankh3-Large,32,0.46936896000000006
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM3c,5,35,GO:0000776,C,IDA,kinetochore,0.003,PSN1_HUMAN,Homo sapiens (Human).,PSEN1,1,0.997,0,0,,15.4618,27.7108,-123,34.1365,498,359,467,cosine,0,4,5,0.8,1,4,0.25,0.1,0.0,0.21586299999999997,0.37805808,ESM3c,35,0.37805808
tr_A0A075F5C6_A0A075F5C6_MOUSE,Ankh3-Large,4,32,GO:0001525,P,IMP,angiogenesis,0.0023,NOX1_HUMAN,Homo sapiens (Human).,NOX1 {ECO:0000312|HGNC:HGNC:7889},1,0.9977,0,0,,16.4931,28.6458,-150,39.7569,576,359,564,cosine,0,5,5,1.0,4,4,1.0,0.1,0.0,0.2256945,0.53174312,Ankh3-Large,32,0.53174312
tr_A0A075F5C6_A0A075F5C6_MOUSE,Prost-T5,2,12,GO:0001540,F,IPI,amyloid-beta binding,0.0007,FPR2_HUMAN,Homo sapiens (Human).,FPR2,2,0.9993,0,0,,29.0323,50.2688,406,9.1398,372,359,351,cosine,0,5,5,1.0,4,4,1.0,0.2,0.0,0.3965055,0.57532888,Prost-T5,12,0.57532888
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM3c,5,18,GO:0001591,F,IDA,"dopamine neurotransmitter receptor activity, coupled via Gi/Go",0.0016,DRD2_HUMAN,Homo sapiens (Human).,DRD2,1,0.9984,1,1,GO:0038023,18.75,31.0547,83,43.3594,512,359,443,cosine,0,5,5,1.0,4,4,1.0,0.1,0.1,0.2490235,0.5515877600000001,ESM3c,18,0.5515877600000001
tr_A0A075F5C6_A0A075F5C6_MOUSE,Prost-T5,2,12,GO:0001596,F,IDA,angiotensin type I receptor activity,-0.0,AGTR1_HUMAN,Homo sapiens (Human).,AGTR1 {ECO:0000312|HGNC:HGNC:336},1,1.0,6,4,"GO:0004888, GO:0004930, GO:0008528, GO:0038023",100.0,100.0,1865,0.0,359,359,359,cosine,0,5,5,1.0,4,4,1.0,0.1,0.6,1.0,0.7520000000000001,Prost-T5,12,0.7520000000000001
tr_A0A075F5C6_A0A075F5C6_MOUSE,Prost-T5,2,12,GO:0001618,F,TAS,virus receptor activity,0.0004,CXCR4_HUMAN,Homo sapiens (Human).,CXCR4,1,0.9996,0,0,,32.0755,50.4043,450,8.3558,371,359,352,cosine,0,5,5,1.0,4,4,1.0,0.1,0.0,0.41239899999999996,0.5619198400000001,Prost-T5,12,0.5619198400000001
tr_A0A075F5C6_A0A075F5C6_MOUSE,Prot-T5,3,24,GO:0001666,P,IEP,response to hypoxia,0.0011,CXCR4_HUMAN,Homo sapiens (Human).,CXCR4,2,0.9989,0,0,,32.0755,50.4043,450,8.3558,371,359,352,cosine,0,5,5,1.0,4,4,1.0,0.2,0.0,0.41239899999999996,0.5778078400000001,Prot-T5,24,0.5778078400000001
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM3c,5,24,GO:0001814,P,TAS,negative regulation of antibody-dependent cellular cytotoxicity,0.0409,FCG2B_HUMAN,Homo sapiens (Human).,FCGR2B,1,0.9591,3,3,"GO:0002819, GO:0050727, GO:0050728",16.5803,29.7927,-98,26.6839,386,359,310,cosine,0,1,5,0.2,1,4,0.25,0.1,0.3,0.231865,0.32655439999999997,ESM3c,24,0.32655439999999997
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM3c,5,24,GO:0001818,P,TAS,negative regulation of cytokine production,0.0409,FCG2B_HUMAN,Homo sapiens (Human).,FCGR2B,1,0.9591,0,0,,16.5803,29.7927,-98,26.6839,386,359,310,cosine,0,1,5,0.2,1,4,0.25,0.1,0.0,0.231865,0.2785544,ESM3c,24,0.2785544
tr_A0A075F5C6_A0A075F5C6_MOUSE,Prost-T5,2,12,GO:0001822,P,IMP,kidney development,-0.0,AGTR1_HUMAN,Homo sapiens (Human).,AGTR1 {ECO:0000312|HGNC:HGNC:336},1,1.0,0,0,,100.0,100.0,1865,0.0,359,359,359,cosine,0,5,5,1.0,4,4,1.0,0.1,0.0,1.0,0.656,Prost-T5,12,0.656
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM,1,33,GO:0001954,P,IDA,positive regulation of cell-matrix adhesion,0.0567,CD36_HUMAN,Homo sapiens (Human).,CD36,1,0.9433,1,1,GO:0030155,15.8416,30.297,-142,35.4455,505,359,472,cosine,0,1,5,0.2,1,4,0.25,0.1,0.1,0.230693,0.29183888,ESM,33,0.29183888
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM3c,5,18,GO:0001965,F,IPI,G-protein alpha-subunit binding,0.0016,DRD2_HUMAN,Homo sapiens (Human).,DRD2,1,0.9984,0,0,,18.75,31.0547,83,43.3594,512,359,443,cosine,0,5,5,1.0,4,4,1.0,0.1,0.0,0.2490235,0.5355877600000001,ESM3c,18,0.5355877600000001
tr_A0A075F5C6_A0A075F5C6_MOUSE,Prost-T5,2,16,GO:0002034,P,IDA,maintenance of blood vessel diameter homeostasis by renin-angiotensin,0.0,AGTR1_HUMAN,Homo sapiens (Human).,AGTR1 {ECO:0000312|HGNC:HGNC:336},1,1.0,3,3,"GO:0003081, GO:0008217, GO:0097746",100.0,100.0,1865,0.0,359,359,359,cosine,0,5,5,1.0,4,4,1.0,0.1,0.3,1.0,0.7040000000000001,Prost-T5,16,0.7040000000000001
tr_A0A075F5C6_A0A075F5C6_MOUSE,Prost-T5,2,12,GO:0002248,P,IDA,connective tissue replacement involved in inflammatory response wound healing,0.0014,PAR1_HUMAN,Homo sapiens (Human).,F2R {ECO:0000312|HGNC:HGNC:3537},1,0.9986,0,0,,21.9457,40.724,261,22.6244,442,359,425,cosine,0,5,5,1.0,4,4,1.0,0.1,0.0,0.3133485,0.54591176,Prost-T5,12,0.54591176
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM3c,5,35,GO:0002265,P,IGI,astrocyte activation involved in immune response,0.003,PSN1_HUMAN,Homo sapiens (Human).,PSEN1,1,0.997,1,1,GO:0048143,15.4618,27.7108,-123,34.1365,498,359,467,cosine,0,4,5,0.8,1,4,0.25,0.1,0.1,0.21586299999999997,0.39405808000000003,ESM3c,35,0.39405808000000003
tr_A0A075F5C6_A0A075F5C6_MOUSE,ESM3c,5,24,GO:0002266,P,TAS,follicular dendritic cell activation,0.0409,FCG2B_HUMAN,Homo sapiens (Human).,FCGR2B,1,0.9591,0,0,,16.5803,29.7927,-98,26.6839,386,359,310,cosine,0,1,5,0.2,1,4,0.25,0.1,0.0,0.231865,0.2785544,ESM3c,24,0.2785544
